Policy Name,Module,Var,Default Value,Min,Max,Kind,StellaVar
Central Bank Inflation Goal,Government Regulations,time to start central bank inflation policy,2025,2025,2100,DivBy5Parm,Government Regulations.time to start central bank inflation policy
Central Bank Unemployment Goal,Government Regulations,max change per year in unemployment,0.001,0.0001,0.02,OneParm,Government Regulations.max change per year in unemployment
Central Bank Unemployment Goal,Government Regulations,unemployment goal policy,0.05,0,0.15,OneParm,Government Regulations.unemployment goal policy
Central Bank Unemployment Goal,Government Regulations,time to start central bank unemployment policy,2025,2025,2100,DivBy5Parm,Government Regulations.time to start central bank unemployment policy
Wage Tax Policy,Government Regulations,wage tax policy,0.219,0.05,0.6,OneParm,Government Regulations.wage tax policy
Wage Tax Policy,Government Regulations,wage tax policy start year,2025,2025,2100,DivBy5Parm,Government Regulations.wage tax policy start year
Wage Tax Policy,Government Regulations,time to implement wage tax policy,5,5,75,DivBy5Parm,Government Regulations.time to implement wage tax policy
Wage Tax Policy,Government Regulations,switch wage tax policy,0,0,1,Ones,Government Regulations.switch wage tax policy
Profit Tax Policy,Government Regulations,profit tax policy,0.327,0.05,0.4,OneParm,Government Regulations.profit tax policy
Profit Tax Policy,Government Regulations,profit tax policy start year,2025,2025,2100,DivBy5Parm,Government Regulations.profit tax policy start year
Profit Tax Policy,Government Regulations,time to implement profit tax policy,5,5,75,DivBy5Parm,Government Regulations.time to implement profit tax policy
Profit Tax Policy,Government Regulations,switch profit tax policy,0,0,1,Ones,Government Regulations.switch profit tax policy
Wealth Tax Policy,Government Regulations,wealth tax policy,0,0,0.05,OneParm,Government Regulations.wealth tax policy
Wealth Tax Policy,Government Regulations,wealth tax policy start year,2025,2025,2100,DivBy5Parm,Government Regulations.wealth tax policy start year
Wealth Tax Policy,Government Regulations,time to implement wealth tax policy,5,5,75,DivBy5Parm,Government Regulations.time to implement wealth tax policy
,,,,,,,
Per Person Food Demand,Behavioral Choices,food demand policy,2833,1800,4000,ThreeParm,Behavioral Choices.food demand policy
Per Person Food Demand,Behavioral Choices,switch food demand policy,0,0,1,Ones,Behavioral Choices.switch food demand policy
Diet Shift + Additional Environmental Consciousness,Behavioral Choices,additional environmental consciousness policy,0,0,1,ThreeParm,Behavioral Choices.additional environmental consciousness policy
Diet Shift + Additional Environmental Consciousness,Behavioral Choices,switch environmental consciousness policy,0,0,1,Ones,Behavioral Choices.switch environmental consciousness policy
Diet Shift + Animal Products Fraction,Behavioral Choices,animal products fraction policy,0.19,0.05,0.4,ThreeParm,Behavioral Choices.animal products fraction policy
Diet Shift + Animal Products Fraction,Behavioral Choices,switch animal products fraction policy,0,0,1,Ones,Behavioral Choices.switch animal products fraction policy
Per Person Energy Demand,Behavioral Choices,per person use of energy policy,8.64,5,10,ThreeParm,Behavioral Choices.per person use of energy policy
Per Person Energy Demand,Behavioral Choices,switch energy demand policy,0,0,1,Ones,Behavioral Choices.switch energy demand policy
